"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","CPI","TOT","AGRWTH","A","1980",10.12922,
"CAN","CPI","TOT","AGRWTH","A","1981",12.47161,
"CAN","CPI","TOT","AGRWTH","A","1982",10.76897,
"CAN","CPI","TOT","AGRWTH","A","1983",5.863588,
"CAN","CPI","TOT","AGRWTH","A","1984",4.304778,
"CAN","CPI","TOT","AGRWTH","A","1985",3.962031,
"CAN","CPI","TOT","AGRWTH","A","1986",4.194786,
"CAN","CPI","TOT","AGRWTH","A","1987",4.356109,
"CAN","CPI","TOT","AGRWTH","A","1988",4.028234,
"CAN","CPI","TOT","AGRWTH","A","1989",4.983622,
"CAN","CPI","TOT","AGRWTH","A","1990",4.780477,
"CAN","CPI","TOT","AGRWTH","A","1991",5.625864,
"CAN","CPI","TOT","AGRWTH","A","1992",1.490133,
"CAN","CPI","TOT","AGRWTH","A","1993",1.865079,
"CAN","CPI","TOT","AGRWTH","A","1994",0.1655629,
"CAN","CPI","TOT","AGRWTH","A","1995",2.14876,
"CAN","CPI","TOT","AGRWTH","A","1996",1.570531,
"CAN","CPI","TOT","AGRWTH","A","1997",1.621216,
"CAN","CPI","TOT","AGRWTH","A","1998",0.9959425,
"CAN","CPI","TOT","AGRWTH","A","1999",1.734843,
"CAN","CPI","TOT","AGRWTH","A","2000",2.71944,
"CAN","CPI","TOT","AGRWTH","A","2001",2.52512,
"CAN","CPI","TOT","AGRWTH","A","2002",2.258394,
"CAN","CPI","TOT","AGRWTH","A","2003",2.758563,
"CAN","CPI","TOT","AGRWTH","A","2004",1.857259,
"CAN","CPI","TOT","AGRWTH","A","2005",2.213552,
"CAN","CPI","TOT","AGRWTH","A","2006",2.002025,
"CAN","CPI","TOT","AGRWTH","A","2007",2.138384,
"CAN","CPI","TOT","AGRWTH","A","2008",2.370271,
"CAN","CPI","TOT","AGRWTH","A","2009",0.2994668,
"CAN","CPI","TOT","AGRWTH","A","2010",1.776872,
"CAN","CPI","TOT","AGRWTH","A","2011",2.912135,
"CAN","CPI","TOT","AGRWTH","A","2012",1.515678,
"CAN","CPI","TOT","AGRWTH","A","2013",0.9382919,
"CAN","CPI","TOT","AGRWTH","A","2014",1.906636,
"CAN","CPI","TOT","AGRWTH","A","2015",1.125241,
"CAN","CPI","TOT","AGRWTH","A","2016",1.42876,
"CAN","CPI","TOT","AGRWTH","A","2017",1.596884,
"CAN","CPI","TOT","AGRWTH","A","2018",2.268226,
"CAN","CPI","TOT","AGRWTH","A","2019",1.949269,
"CAN","CPI","TOT","AGRWTH","A","2020",0.7169997,
"FRA","CPI","TOT","AGRWTH","A","1980",13.56258,
"FRA","CPI","TOT","AGRWTH","A","1981",13.3144,
"FRA","CPI","TOT","AGRWTH","A","1982",11.97848,
"FRA","CPI","TOT","AGRWTH","A","1983",9.459548,
"FRA","CPI","TOT","AGRWTH","A","1984",7.673803,
"FRA","CPI","TOT","AGRWTH","A","1985",5.831099,
"FRA","CPI","TOT","AGRWTH","A","1986",2.538527,
"FRA","CPI","TOT","AGRWTH","A","1987",3.288898,
"FRA","CPI","TOT","AGRWTH","A","1988",2.700817,
"FRA","CPI","TOT","AGRWTH","A","1989",3.498302,
"FRA","CPI","TOT","AGRWTH","A","1990",3.194282,
"FRA","CPI","TOT","AGRWTH","A","1991",3.213407,
"FRA","CPI","TOT","AGRWTH","A","1992",2.36376,
"FRA","CPI","TOT","AGRWTH","A","1993",2.104463,
"FRA","CPI","TOT","AGRWTH","A","1994",1.655515,
"FRA","CPI","TOT","AGRWTH","A","1995",1.796481,
"FRA","CPI","TOT","AGRWTH","A","1996",1.982884,
"FRA","CPI","TOT","AGRWTH","A","1997",1.203943,
"FRA","CPI","TOT","AGRWTH","A","1998",0.6511269,
"FRA","CPI","TOT","AGRWTH","A","1999",0.5371416,
"FRA","CPI","TOT","AGRWTH","A","2000",1.67596,
"FRA","CPI","TOT","AGRWTH","A","2001",1.634781,
"FRA","CPI","TOT","AGRWTH","A","2002",1.923412,
"FRA","CPI","TOT","AGRWTH","A","2003",2.098472,
"FRA","CPI","TOT","AGRWTH","A","2004",2.14209,
"FRA","CPI","TOT","AGRWTH","A","2005",1.745869,
"FRA","CPI","TOT","AGRWTH","A","2006",1.675125,
"FRA","CPI","TOT","AGRWTH","A","2007",1.487998,
"FRA","CPI","TOT","AGRWTH","A","2008",2.812862,
"FRA","CPI","TOT","AGRWTH","A","2009",0.08762048,
"FRA","CPI","TOT","AGRWTH","A","2010",1.531123,
"FRA","CPI","TOT","AGRWTH","A","2011",2.111598,
"FRA","CPI","TOT","AGRWTH","A","2012",1.954195,
"FRA","CPI","TOT","AGRWTH","A","2013",0.8637155,
"FRA","CPI","TOT","AGRWTH","A","2014",0.5077588,
"FRA","CPI","TOT","AGRWTH","A","2015",0.03751438,
"FRA","CPI","TOT","AGRWTH","A","2016",0.1833349,
"FRA","CPI","TOT","AGRWTH","A","2017",1.032283,
"FRA","CPI","TOT","AGRWTH","A","2018",1.850815,
"FRA","CPI","TOT","AGRWTH","A","2019",1.108255,
"FRA","CPI","TOT","AGRWTH","A","2020",0.4764988,
"DEU","CPI","TOT","AGRWTH","A","1980",5.441055,
"DEU","CPI","TOT","AGRWTH","A","1981",6.344242,
"DEU","CPI","TOT","AGRWTH","A","1982",5.241046,
"DEU","CPI","TOT","AGRWTH","A","1983",3.293413,
"DEU","CPI","TOT","AGRWTH","A","1984",2.405797,
"DEU","CPI","TOT","AGRWTH","A","1985",2.066233,
"DEU","CPI","TOT","AGRWTH","A","1986",-0.1294139,
"DEU","CPI","TOT","AGRWTH","A","1987",0.2499074,
"DEU","CPI","TOT","AGRWTH","A","1988",1.274121,
"DEU","CPI","TOT","AGRWTH","A","1989",2.780563,
"DEU","CPI","TOT","AGRWTH","A","1990",2.69647,
"DEU","CPI","TOT","AGRWTH","A","1991",4.047034,
"DEU","CPI","TOT","AGRWTH","A","1992",5.05698,
"DEU","CPI","TOT","AGRWTH","A","1993",4.474576,
"DEU","CPI","TOT","AGRWTH","A","1994",2.693056,
"DEU","CPI","TOT","AGRWTH","A","1995",1.706161,
"DEU","CPI","TOT","AGRWTH","A","1996",1.449726,
"DEU","CPI","TOT","AGRWTH","A","1997",1.939369,
"DEU","CPI","TOT","AGRWTH","A","1998",0.9111845,
"DEU","CPI","TOT","AGRWTH","A","1999",0.5854336,
"DEU","CPI","TOT","AGRWTH","A","2000",1.440268,
"DEU","CPI","TOT","AGRWTH","A","2001",1.983857,
"DEU","CPI","TOT","AGRWTH","A","2002",1.420807,
"DEU","CPI","TOT","AGRWTH","A","2003",1.034223,
"DEU","CPI","TOT","AGRWTH","A","2004",1.665736,
"DEU","CPI","TOT","AGRWTH","A","2005",1.546911,
"DEU","CPI","TOT","AGRWTH","A","2006",1.577429,
"DEU","CPI","TOT","AGRWTH","A","2007",2.298341,
"DEU","CPI","TOT","AGRWTH","A","2008",2.628383,
"DEU","CPI","TOT","AGRWTH","A","2009",0.3127377,
"DEU","CPI","TOT","AGRWTH","A","2010",1.103809,
"DEU","CPI","TOT","AGRWTH","A","2011",2.075173,
"DEU","CPI","TOT","AGRWTH","A","2012",2.008491,
"DEU","CPI","TOT","AGRWTH","A","2013",1.504722,
"DEU","CPI","TOT","AGRWTH","A","2014",0.9067971,
"DEU","CPI","TOT","AGRWTH","A","2015",0.514421,
"DEU","CPI","TOT","AGRWTH","A","2016",0.4917486,
"DEU","CPI","TOT","AGRWTH","A","2017",1.509497,
"DEU","CPI","TOT","AGRWTH","A","2018",1.732168,
"DEU","CPI","TOT","AGRWTH","A","2019",1.445667,
"DEU","CPI","TOT","AGRWTH","A","2020",0.5066899,
"ITA","CPI","TOT","AGRWTH","A","1980",21.06417,
"ITA","CPI","TOT","AGRWTH","A","1981",17.9693,
"ITA","CPI","TOT","AGRWTH","A","1982",16.48041,
"ITA","CPI","TOT","AGRWTH","A","1983",14.64659,
"ITA","CPI","TOT","AGRWTH","A","1984",10.79449,
"ITA","CPI","TOT","AGRWTH","A","1985",9.205993,
"ITA","CPI","TOT","AGRWTH","A","1986",5.823544,
"ITA","CPI","TOT","AGRWTH","A","1987",4.747284,
"ITA","CPI","TOT","AGRWTH","A","1988",5.058249,
"ITA","CPI","TOT","AGRWTH","A","1989",6.259837,
"ITA","CPI","TOT","AGRWTH","A","1990",6.456608,
"ITA","CPI","TOT","AGRWTH","A","1991",6.25,
"ITA","CPI","TOT","AGRWTH","A","1992",5.270588,
"ITA","CPI","TOT","AGRWTH","A","1993",4.626732,
"ITA","CPI","TOT","AGRWTH","A","1994",4.051841,
"ITA","CPI","TOT","AGRWTH","A","1995",5.235423,
"ITA","CPI","TOT","AGRWTH","A","1996",4.00698,
"ITA","CPI","TOT","AGRWTH","A","1997",2.043106,
"ITA","CPI","TOT","AGRWTH","A","1998",1.955088,
"ITA","CPI","TOT","AGRWTH","A","1999",1.663458,
"ITA","CPI","TOT","AGRWTH","A","2000",2.537687,
"ITA","CPI","TOT","AGRWTH","A","2001",2.785166,
"ITA","CPI","TOT","AGRWTH","A","2002",2.46532,
"ITA","CPI","TOT","AGRWTH","A","2003",2.672559,
"ITA","CPI","TOT","AGRWTH","A","2004",2.206736,
"ITA","CPI","TOT","AGRWTH","A","2005",1.985294,
"ITA","CPI","TOT","AGRWTH","A","2006",2.090843,
"ITA","CPI","TOT","AGRWTH","A","2007",1.829738,
"ITA","CPI","TOT","AGRWTH","A","2008",3.347834,
"ITA","CPI","TOT","AGRWTH","A","2009",0.7747682,
"ITA","CPI","TOT","AGRWTH","A","2010",1.525516,
"ITA","CPI","TOT","AGRWTH","A","2011",2.780633,
"ITA","CPI","TOT","AGRWTH","A","2012",3.041363,
"ITA","CPI","TOT","AGRWTH","A","2013",1.219992,
"ITA","CPI","TOT","AGRWTH","A","2014",0.2410575,
"ITA","CPI","TOT","AGRWTH","A","2015",0.03878675,
"ITA","CPI","TOT","AGRWTH","A","2016",-0.0940214,
"ITA","CPI","TOT","AGRWTH","A","2017",1.226533,
"ITA","CPI","TOT","AGRWTH","A","2018",1.137488,
"ITA","CPI","TOT","AGRWTH","A","2019",0.6112469,
"ITA","CPI","TOT","AGRWTH","A","2020",-0.1377076,
"JPN","CPI","TOT","AGRWTH","A","1980",7.758333,
"JPN","CPI","TOT","AGRWTH","A","1981",4.941667,
"JPN","CPI","TOT","AGRWTH","A","1982",2.75,
"JPN","CPI","TOT","AGRWTH","A","1983",1.9,
"JPN","CPI","TOT","AGRWTH","A","1984",2.266667,
"JPN","CPI","TOT","AGRWTH","A","1985",2.083333,
"JPN","CPI","TOT","AGRWTH","A","1986",0.6166667,
"JPN","CPI","TOT","AGRWTH","A","1987",0.1083333,
"JPN","CPI","TOT","AGRWTH","A","1988",0.675,
"JPN","CPI","TOT","AGRWTH","A","1989",2.291667,
"JPN","CPI","TOT","AGRWTH","A","1990",3.1,
"JPN","CPI","TOT","AGRWTH","A","1991",3.283333,
"JPN","CPI","TOT","AGRWTH","A","1992",1.741667,
"JPN","CPI","TOT","AGRWTH","A","1993",1.258333,
"JPN","CPI","TOT","AGRWTH","A","1994",0.6833333,
"JPN","CPI","TOT","AGRWTH","A","1995",-0.08333334,
"JPN","CPI","TOT","AGRWTH","A","1996",0.1333333,
"JPN","CPI","TOT","AGRWTH","A","1997",1.708333,
"JPN","CPI","TOT","AGRWTH","A","1998",0.6583334,
"JPN","CPI","TOT","AGRWTH","A","1999",-0.3416667,
"JPN","CPI","TOT","AGRWTH","A","2000",-0.6583334,
"JPN","CPI","TOT","AGRWTH","A","2001",-0.7333333,
"JPN","CPI","TOT","AGRWTH","A","2002",-0.9083334,
"JPN","CPI","TOT","AGRWTH","A","2003",-0.25,
"JPN","CPI","TOT","AGRWTH","A","2004",-0.008333334,
"JPN","CPI","TOT","AGRWTH","A","2005",-0.2833333,
"JPN","CPI","TOT","AGRWTH","A","2006",0.2416667,
"JPN","CPI","TOT","AGRWTH","A","2007",0.05833333,
"JPN","CPI","TOT","AGRWTH","A","2008",1.383333,
"JPN","CPI","TOT","AGRWTH","A","2009",-1.341667,
"JPN","CPI","TOT","AGRWTH","A","2010",-0.7,
"JPN","CPI","TOT","AGRWTH","A","2011",-0.275,
"JPN","CPI","TOT","AGRWTH","A","2012",-0.04166667,
"JPN","CPI","TOT","AGRWTH","A","2013",0.35,
"JPN","CPI","TOT","AGRWTH","A","2014",2.733333,
"JPN","CPI","TOT","AGRWTH","A","2015",0.8,
"JPN","CPI","TOT","AGRWTH","A","2016",-0.1333333,
"JPN","CPI","TOT","AGRWTH","A","2017",0.475,
"JPN","CPI","TOT","AGRWTH","A","2018",0.9916667,
"JPN","CPI","TOT","AGRWTH","A","2019",0.475,
"JPN","CPI","TOT","AGRWTH","A","2020",-0.01666667,
"GBR","CPI","TOT","AGRWTH","A","1980",17.96593,
"GBR","CPI","TOT","AGRWTH","A","1981",11.87662,
"GBR","CPI","TOT","AGRWTH","A","1982",8.59887,
"GBR","CPI","TOT","AGRWTH","A","1983",4.609302,
"GBR","CPI","TOT","AGRWTH","A","1984",4.960712,
"GBR","CPI","TOT","AGRWTH","A","1985",6.071394,
"GBR","CPI","TOT","AGRWTH","A","1986",3.427615,
"GBR","CPI","TOT","AGRWTH","A","1987",4.148918,
"GBR","CPI","TOT","AGRWTH","A","1988",4.2094,"B"
"GBR","CPI","TOT","AGRWTH","A","1989",5.7,
"GBR","CPI","TOT","AGRWTH","A","1990",8,
"GBR","CPI","TOT","AGRWTH","A","1991",7.5,
"GBR","CPI","TOT","AGRWTH","A","1992",4.6,
"GBR","CPI","TOT","AGRWTH","A","1993",2.6,
"GBR","CPI","TOT","AGRWTH","A","1994",2.2,
"GBR","CPI","TOT","AGRWTH","A","1995",2.7,
"GBR","CPI","TOT","AGRWTH","A","1996",2.9,
"GBR","CPI","TOT","AGRWTH","A","1997",2.2,
"GBR","CPI","TOT","AGRWTH","A","1998",1.8,
"GBR","CPI","TOT","AGRWTH","A","1999",1.7,
"GBR","CPI","TOT","AGRWTH","A","2000",1.2,
"GBR","CPI","TOT","AGRWTH","A","2001",1.6,
"GBR","CPI","TOT","AGRWTH","A","2002",1.5,
"GBR","CPI","TOT","AGRWTH","A","2003",1.4,
"GBR","CPI","TOT","AGRWTH","A","2004",1.4,
"GBR","CPI","TOT","AGRWTH","A","2005",2.1,
"GBR","CPI","TOT","AGRWTH","A","2006",2.5,
"GBR","CPI","TOT","AGRWTH","A","2007",2.4,
"GBR","CPI","TOT","AGRWTH","A","2008",3.5,
"GBR","CPI","TOT","AGRWTH","A","2009",2,
"GBR","CPI","TOT","AGRWTH","A","2010",2.5,
"GBR","CPI","TOT","AGRWTH","A","2011",3.8,
"GBR","CPI","TOT","AGRWTH","A","2012",2.6,
"GBR","CPI","TOT","AGRWTH","A","2013",2.3,
"GBR","CPI","TOT","AGRWTH","A","2014",1.5,
"GBR","CPI","TOT","AGRWTH","A","2015",0.4,
"GBR","CPI","TOT","AGRWTH","A","2016",1,
"GBR","CPI","TOT","AGRWTH","A","2017",2.6,
"GBR","CPI","TOT","AGRWTH","A","2018",2.3,
"GBR","CPI","TOT","AGRWTH","A","2019",1.7,
"GBR","CPI","TOT","AGRWTH","A","2020",1,
"USA","CPI","TOT","AGRWTH","A","1980",13.5492,
"USA","CPI","TOT","AGRWTH","A","1981",10.33471,
"USA","CPI","TOT","AGRWTH","A","1982",6.131427,
"USA","CPI","TOT","AGRWTH","A","1983",3.212435,
"USA","CPI","TOT","AGRWTH","A","1984",4.300536,
"USA","CPI","TOT","AGRWTH","A","1985",3.545644,
"USA","CPI","TOT","AGRWTH","A","1986",1.898048,
"USA","CPI","TOT","AGRWTH","A","1987",3.664563,
"USA","CPI","TOT","AGRWTH","A","1988",4.077741,
"USA","CPI","TOT","AGRWTH","A","1989",4.827003,
"USA","CPI","TOT","AGRWTH","A","1990",5.397956,
"USA","CPI","TOT","AGRWTH","A","1991",4.234964,
"USA","CPI","TOT","AGRWTH","A","1992",3.02882,
"USA","CPI","TOT","AGRWTH","A","1993",2.951657,
"USA","CPI","TOT","AGRWTH","A","1994",2.607442,
"USA","CPI","TOT","AGRWTH","A","1995",2.80542,
"USA","CPI","TOT","AGRWTH","A","1996",2.931204,
"USA","CPI","TOT","AGRWTH","A","1997",2.33769,
"USA","CPI","TOT","AGRWTH","A","1998",1.552279,
"USA","CPI","TOT","AGRWTH","A","1999",2.188027,
"USA","CPI","TOT","AGRWTH","A","2000",3.376857,
"USA","CPI","TOT","AGRWTH","A","2001",2.826171,
"USA","CPI","TOT","AGRWTH","A","2002",1.586032,
"USA","CPI","TOT","AGRWTH","A","2003",2.270095,
"USA","CPI","TOT","AGRWTH","A","2004",2.677237,
"USA","CPI","TOT","AGRWTH","A","2005",3.392747,
"USA","CPI","TOT","AGRWTH","A","2006",3.225944,
"USA","CPI","TOT","AGRWTH","A","2007",2.852673,
"USA","CPI","TOT","AGRWTH","A","2008",3.8391,
"USA","CPI","TOT","AGRWTH","A","2009",-0.3555463,
"USA","CPI","TOT","AGRWTH","A","2010",1.640043,
"USA","CPI","TOT","AGRWTH","A","2011",3.156842,
"USA","CPI","TOT","AGRWTH","A","2012",2.069337,
"USA","CPI","TOT","AGRWTH","A","2013",1.464833,
"USA","CPI","TOT","AGRWTH","A","2014",1.622223,
"USA","CPI","TOT","AGRWTH","A","2015",0.1186271,
"USA","CPI","TOT","AGRWTH","A","2016",1.261583,
"USA","CPI","TOT","AGRWTH","A","2017",2.13011,
"USA","CPI","TOT","AGRWTH","A","2018",2.442583,
"USA","CPI","TOT","AGRWTH","A","2019",1.81221,
"USA","CPI","TOT","AGRWTH","A","2020",1.233584,
"CHN","CPI","TOT","AGRWTH","A","1985",9.3,
"CHN","CPI","TOT","AGRWTH","A","1986",6.5,
"CHN","CPI","TOT","AGRWTH","A","1987",7.3,
"CHN","CPI","TOT","AGRWTH","A","1988",18.8,
"CHN","CPI","TOT","AGRWTH","A","1989",18,
"CHN","CPI","TOT","AGRWTH","A","1990",3.1,
"CHN","CPI","TOT","AGRWTH","A","1991",3.4,
"CHN","CPI","TOT","AGRWTH","A","1992",6.4,
"CHN","CPI","TOT","AGRWTH","A","1993",14.7,
"CHN","CPI","TOT","AGRWTH","A","1994",24.1,
"CHN","CPI","TOT","AGRWTH","A","1995",17.1,
"CHN","CPI","TOT","AGRWTH","A","1996",8.3,
"CHN","CPI","TOT","AGRWTH","A","1997",2.8,
"CHN","CPI","TOT","AGRWTH","A","1998",-0.8,
"CHN","CPI","TOT","AGRWTH","A","1999",-1.4,
"CHN","CPI","TOT","AGRWTH","A","2000",0.4,
"CHN","CPI","TOT","AGRWTH","A","2001",0.7,
"CHN","CPI","TOT","AGRWTH","A","2002",-0.8,
"CHN","CPI","TOT","AGRWTH","A","2003",1.2,
"CHN","CPI","TOT","AGRWTH","A","2004",3.9,
"CHN","CPI","TOT","AGRWTH","A","2005",1.8,
"CHN","CPI","TOT","AGRWTH","A","2006",1.5,
"CHN","CPI","TOT","AGRWTH","A","2007",4.8,
"CHN","CPI","TOT","AGRWTH","A","2008",5.9,
"CHN","CPI","TOT","AGRWTH","A","2009",-0.7,
"CHN","CPI","TOT","AGRWTH","A","2010",3.3,
"CHN","CPI","TOT","AGRWTH","A","2011",5.4,
"CHN","CPI","TOT","AGRWTH","A","2012",2.6,
"CHN","CPI","TOT","AGRWTH","A","2013",2.6,
"CHN","CPI","TOT","AGRWTH","A","2014",2,
"CHN","CPI","TOT","AGRWTH","A","2015",1.4,
"CHN","CPI","TOT","AGRWTH","A","2016",2,
"CHN","CPI","TOT","AGRWTH","A","2017",1.6,
"CHN","CPI","TOT","AGRWTH","A","2018",2.1,
"CHN","CPI","TOT","AGRWTH","A","2019",2.9,
"OECD","CPI","TOT","AGRWTH","A","1980",14.78296,
"OECD","CPI","TOT","AGRWTH","A","1981",11.99942,
"OECD","CPI","TOT","AGRWTH","A","1982",10.68295,
"OECD","CPI","TOT","AGRWTH","A","1983",10.53212,
"OECD","CPI","TOT","AGRWTH","A","1984",8.887243,
"OECD","CPI","TOT","AGRWTH","A","1985",7.641433,
"OECD","CPI","TOT","AGRWTH","A","1986",6.815455,
"OECD","CPI","TOT","AGRWTH","A","1987",9.108,
"OECD","CPI","TOT","AGRWTH","A","1988",9.843582,
"OECD","CPI","TOT","AGRWTH","A","1989",6.391874,
"OECD","CPI","TOT","AGRWTH","A","1990",7.088106,
"OECD","CPI","TOT","AGRWTH","A","1991",6.644829,
"OECD","CPI","TOT","AGRWTH","A","1992",5.334556,
"OECD","CPI","TOT","AGRWTH","A","1993",4.654132,
"OECD","CPI","TOT","AGRWTH","A","1994",4.727356,
"OECD","CPI","TOT","AGRWTH","A","1995",6.069874,
"OECD","CPI","TOT","AGRWTH","A","1996",5.823339,
"OECD","CPI","TOT","AGRWTH","A","1997",4.909943,
"OECD","CPI","TOT","AGRWTH","A","1998",4.332459,
"OECD","CPI","TOT","AGRWTH","A","1999",3.701748,
"OECD","CPI","TOT","AGRWTH","A","2000",4.057409,
"OECD","CPI","TOT","AGRWTH","A","2001",3.67091,
"OECD","CPI","TOT","AGRWTH","A","2002",2.781151,
"OECD","CPI","TOT","AGRWTH","A","2003",2.480778,
"OECD","CPI","TOT","AGRWTH","A","2004",2.410998,
"OECD","CPI","TOT","AGRWTH","A","2005",2.64364,
"OECD","CPI","TOT","AGRWTH","A","2006",2.67205,
"OECD","CPI","TOT","AGRWTH","A","2007",2.54874,
"OECD","CPI","TOT","AGRWTH","A","2008",3.738404,
"OECD","CPI","TOT","AGRWTH","A","2009",0.555997,
"OECD","CPI","TOT","AGRWTH","A","2010",1.80304,
"OECD","CPI","TOT","AGRWTH","A","2011",2.849344,
"OECD","CPI","TOT","AGRWTH","A","2012",2.243374,
"OECD","CPI","TOT","AGRWTH","A","2013",1.604455,
"OECD","CPI","TOT","AGRWTH","A","2014",1.741781,
"OECD","CPI","TOT","AGRWTH","A","2015",0.6848498,
"OECD","CPI","TOT","AGRWTH","A","2016",1.197644,
"OECD","CPI","TOT","AGRWTH","A","2017",2.281066,
"OECD","CPI","TOT","AGRWTH","A","2018",2.607213,
"OECD","CPI","TOT","AGRWTH","A","2019",2.068631,
"OECD","CPI","TOT","AGRWTH","A","2020",1.366851,
